antecedents,consequents,support,confidence,lift
angry,high_energy,0.14733333333333334,1.0,2.26928895612708
surprise,high_energy,0.096,1.0,2.26928895612708
angry,minor_key,0.14733333333333334,1.0,1.8203883495145632
disgust,low_energy,0.094,1.0,1.7878426698450536
disgust,minor_key,0.094,1.0,1.8203883495145632
happy,major_key,0.19733333333333333,1.0,2.2189349112426036
happy,high_energy,0.19733333333333333,1.0,2.26928895612708
fear,minor_key,0.102,1.0,1.8203883495145632
fear,low_energy,0.102,1.0,1.7878426698450536
sad,low_energy,0.206,1.0,1.7878426698450536
neutral,low_energy,0.15733333333333333,1.0,1.7878426698450536
neutral,major_key,0.15733333333333333,1.0,2.2189349112426036
neutral,"['major_key', 'low_energy']",0.15733333333333333,1.0,6.3559322033898304
disgust,"['low_energy', 'minor_key']",0.094,1.0,2.487562189054726
angry,"['high_energy', 'minor_key']",0.14733333333333334,1.0,6.787330316742081
sad,minor_key,0.206,1.0,1.8203883495145632
surprise,major_key,0.096,1.0,2.2189349112426036
sad,"['low_energy', 'minor_key']",0.206,1.0,2.487562189054726
surprise,"['major_key', 'high_energy']",0.096,1.0,3.409090909090909
happy,"['major_key', 'high_energy']",0.19733333333333333,1.0,3.409090909090909
fear,"['low_energy', 'minor_key']",0.102,1.0,2.487562189054726
surprise,fast_tempo,0.09066666666666667,0.9444444444444445,1.7533003300330037
surprise,"['fast_tempo', 'major_key']",0.09066666666666667,0.9444444444444445,3.3255086071987487
surprise,"['fast_tempo', 'major_key', 'high_energy']",0.09066666666666667,0.9444444444444445,3.4893267651888347
surprise,"['fast_tempo', 'high_energy']",0.09066666666666667,0.9444444444444445,2.3338824821526636
neutral,"['slow_tempo', 'low_energy']",0.144,0.9152542372881356,2.1518516550661495
neutral,"['slow_tempo', 'major_key']",0.144,0.9152542372881356,5.491525423728814
neutral,slow_tempo,0.144,0.9152542372881356,1.9839325952777507
neutral,"['slow_tempo', 'major_key', 'low_energy']",0.144,0.9152542372881356,6.355932203389831
disgust,"['slow_tempo', 'low_energy']",0.086,0.9148936170212765,2.151003801774161
disgust,"['slow_tempo', 'low_energy', 'minor_key']",0.086,0.9148936170212765,3.2519915296964803
disgust,"['slow_tempo', 'minor_key']",0.086,0.9148936170212765,3.104842591701164
disgust,slow_tempo,0.086,0.9148936170212765,1.9831509039478536
happy,"['fast_tempo', 'major_key']",0.18,0.9121621621621622,3.2118385991625433
happy,"['fast_tempo', 'high_energy']",0.18,0.9121621621621622,2.254107484749989
happy,fast_tempo,0.18,0.9121621621621622,1.6933703505485684
happy,"['fast_tempo', 'major_key', 'high_energy']",0.18,0.9121621621621622,3.370057249367594
angry,"['fast_tempo', 'high_energy', 'minor_key']",0.134,0.9095022624434389,6.787330316742081
angry,fast_tempo,0.134,0.9095022624434389,1.688432417902424
angry,"['fast_tempo', 'minor_key']",0.134,0.9095022624434389,3.571343962474237
angry,"['fast_tempo', 'high_energy']",0.134,0.9095022624434389,2.2475344211946595
sad,"['slow_tempo', 'low_energy', 'minor_key']",0.184,0.8932038834951457,3.174895320480376
sad,"['slow_tempo', 'low_energy']",0.184,0.8932038834951457,2.1000091304744806
sad,slow_tempo,0.184,0.8932038834951457,1.936135585610865
sad,"['slow_tempo', 'minor_key']",0.184,0.8932038834951457,3.031234898739182
fear,fast_tempo,0.09066666666666667,0.8888888888888891,1.6501650165016506
fear,"['fast_tempo', 'minor_key']",0.09066666666666667,0.8888888888888891,3.4904013961605593
fear,"['fast_tempo', 'low_energy']",0.09066666666666667,0.8888888888888891,6.6334991708126045
fear,"['fast_tempo', 'low_energy', 'minor_key']",0.09066666666666667,0.8888888888888891,7.366482504604052
